Name,Height (meters),Height (feet),Latitude,Longitude
Bularung Sar,7134.0,23406,36.301944,75.135
Api ,7132.0,23399,30.004167,80.933333
Teri Kang,7124.0,23373,28.171944,89.942222
Pauhunri,7128.0,23386,27.953333,88.8425
Trisul,7120.0,23360,30.312778,79.777222
Peak Ozodi,7105.0,23310,39.0575,72.008333
Lunpo Gangri,7095.0,23278,29.833333,84.613333
Satopanth,7075.0,23212,30.841111,79.213611
Tirsuli,7074.0,23209,30.58,80.02
Dunagiri ,7066.0,23182,30.5325,79.833889
Kangto,7060.0,23163,27.865,92.5325
Nyegyi Kansang,7047.0,23120,27.936667,92.666667
Chomolhari Kang,7046.0,23117,28.164683,90.182503
Salasungo,7043.0,23107,28.335,85.121667
Link Sar,7041.0,23100,35.451111,76.594167
Kezhen Peak,7038.0,23091,35.925,76.175
Shah Dhar,7038.0,23091,36.671667,72.231667
Saipal,7031.0,23068,29.890833,81.495
Padmanabh,7030.0,23064,35.441139,77.182812
Spantik,7027.0,23054,36.057319,74.957983
Khan Tengri,7010.0,22999,42.210833,80.175
Machapuchare,6993.0,22943,28.495,83.949167
Laila Peak (Haramosh Valley),6985.0,22917,35.955814,74.945739
Kang Guru,6981.0,22904,28.6575,84.301389
Gasherbrum VI,6979.0,22897,35.708611,76.631389
Karun Kuh,6977.0,22890,36.61,75.080833
Lenin Peak,6974.0,22881,39.3425,72.8775
Ulugh Muztagh,6973.0,22877,36.4125,87.385
Aconcagua,6962.0,22841,-32.653197,-70.0112
Sangemarmar Sar,6949.0,22799,36.425278,74.560556
Kedarnath ,6940.0,22769,30.795,79.069444
Panchachuli,6904.0,22651,30.214167,80.4275
Thalay Sagar,6904.0,22651,30.858056,78.997222
Lunkho e Dosare,6901.0,22641,36.775833,72.44
Lunag Ri,6895.0,22621,28.053056,86.551667
Ojos del Salado,6891.0,22608,-27.109,-68.541
Siniolchu,6888.0,22598,27.711389,88.317778
Kanjiroba,6883.0,22582,29.378333,82.639167
Bairiga,6882.0,22579,29.165833,96.724167
Koyo Zom,6872.0,22546,36.7225,73.238056
Nanda Kot,6861.0,22510,30.281667,80.068333
